screen_id,organism,experimental_setup,condition_name,condition_class,growth_direction,readout_type,method,current_domain,needs_llm,needs_review
392,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
814,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
910,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1972,Homo sapiens,Drug Exposure,Dinaciclib,drug,suppressing,survival,setup,stress,0,0
2442,Homo sapiens,Drug Exposure,AZD6738,drug,suppressing,survival,setup,stress,0,0
393,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
815,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
911,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1402,Homo sapiens,Drug Exposure,Venetoclax,drug,suppressing,survival,setup,stress,0,0
1973,Homo sapiens,Drug Exposure,A159,drug,suppressing,survival,setup,stress,0,0
2443,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
394,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
816,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
912,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1403,Homo sapiens,Drug Exposure,Venetoclax,drug,suppressing,survival,setup,stress,0,0
1974,Homo sapiens,Drug Exposure,A159,drug,suppressing,survival,setup,stress,0,0
2444,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
395,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
817,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
913,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1404,Homo sapiens,Drug Exposure,Venetoclax,drug,suppressing,survival,setup,stress,0,0
1975,Homo sapiens,Drug Exposure,AZD5576 (CDK9i),drug,suppressing,survival,setup,stress,0,0
2445,Homo sapiens,Drug Exposure,HB007,drug,suppressing,survival,setup,stress,0,0
396,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
818,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
914,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1413,Homo sapiens,Drug Exposure,YM-155 (sepantronium bromide),drug,suppressing,survival,setup,stress,0,0
1976,Homo sapiens,Drug Exposure,AZD5576 (CDK9i),drug,suppressing,survival,setup,stress,0,0
2446,Homo sapiens,Drug Exposure,Sunitinib,drug,suppressing,survival,setup,stress,0,0
397,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
819,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
915,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1414,Homo sapiens,Drug Exposure,navitoclax,drug,suppressing,survival,setup,stress,0,0
2447,Homo sapiens,Virus Exposure,HPIV-3 (Human parainfluenza 3 virus),pathogen,suppressing,survival,setup,stress,0,0
1424,Homo sapiens,Other,alkaline stress (pH 8.25),unknown,UNRESOLVED,UNRESOLVED,unknown,fitness,1,0
916,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
398,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
2448,Homo sapiens,Virus Exposure,HPIV-3 (Human parainfluenza 3 virus),pathogen,suppressing,survival,setup,stress,0,0
820,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
917,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1423,Homo sapiens,Virus Exposure,Virus: SARS-CoV-2 (isolate USA-WA1/2020),pathogen,suppressing,survival,setup,stress,0,0
399,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
821,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1978,Homo sapiens,Drug Exposure,Dinaciclib,drug,suppressing,survival,setup,stress,0,0
1979,Homo sapiens,Drug Exposure,AZD5576 (CDK9i),drug,suppressing,survival,setup,stress,0,0
2449,Homo sapiens,Drug Exposure,Cisplatin,drug,suppressing,survival,setup,stress,0,0
400,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
822,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
918,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1425,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
1980,Homo sapiens,Drug Exposure,AZD5576 (CDK9i),drug,suppressing,survival,setup,stress,0,0
2450,Homo sapiens,Drug Exposure,Prexasertib,drug,suppressing,survival,setup,stress,0,0
1426,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
401,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
823,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
919,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1981,Homo sapiens,Drug Exposure,Dinaciclib,drug,suppressing,survival,setup,stress,0,0
2451,Homo sapiens,Drug Exposure,Prexasertib,drug,suppressing,survival,setup,stress,0,0
402,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
824,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
920,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1427,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
1982,Homo sapiens,Drug Exposure,Dinaciclib,drug,suppressing,survival,setup,stress,0,0
2452,Homo sapiens,Drug Exposure,Prexasertib,drug,suppressing,survival,setup,stress,0,0
403,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
825,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
921,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1428,Homo sapiens,Timecourse,-,baseline,none,marker,setup,reporter,0,0
1983,Homo sapiens,Drug Exposure,golgicide A (GCA),drug,suppressing,survival,setup,stress,0,0
2453,Homo sapiens,Drug Exposure,Prexasertib,drug,suppressing,survival,setup,stress,0,0
404,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
826,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
922,Homo sapiens,Timecourse,-,baseline,none,proliferation,setup,fitness,0,0
1429,Homo sapiens,Virus Exposure,Virus:  Human gammaherpesvirus 8 (Kaposi's sarcoma-associated herpesvirus KSHV),pathogen,suppressing,survival,setup,stress,0,0
