gene,tier,specific,channels,n_cohit,n_cohit_pubs,odds_ratio,cohit_q,spec_enrichment,spec_q,rho,n_coess,coess_q,n_shared_pubs,hit_freq_all,is_core_essential,strength
Mtor,Strong,True,co-hit|co-essentiality|co-citation|contextual,8,7,168.0,4.625e-03,2.72,7.477e-02,0.7306,31,1.003e-02,7,0.3264,False,0.8629
Psma3,Strong,True,co-hit|co-essentiality|co-citation|contextual,8,7,76.0,6.233e-03,2.5,7.477e-02,0.6623,30,3.430e-02,7,0.3558,True,0.8427
Rbm8a,Strong,True,co-hit|co-essentiality|co-citation|contextual,7,7,35.0,1.024e-02,2.26,8.387e-02,0.6331,31,4.987e-02,7,0.3443,False,0.8261
Exosc8,Strong,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.47,8.109e-02,0.7553,30,9.224e-03,7,0.3143,False,0.8501
Pabpc1,Strong,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.36,8.387e-02,0.7241,30,1.382e-02,7,0.3298,False,0.8438
Gm14393,Strong,True,co-hit|co-essentiality|co-citation|contextual,7,6,129.0,4.820e-03,4.18,6.708e-02,0.7166,30,1.382e-02,6,0.186,False,0.8592
Hist1h2ab,Strong,True,co-hit|co-essentiality|co-citation|contextual,7,6,73.5,6.233e-03,4.07,6.708e-02,0.6625,31,2.922e-02,6,0.1912,False,0.8428
Pfdn2,Strong,True,co-hit|co-essentiality|co-citation|contextual,6,6,42.0,1.047e-02,2.21,9.440e-02,0.675,31,2.283e-02,6,0.3011,False,0.834
Gm10408,Strong,True,co-hit|co-essentiality|co-citation|contextual,6,6,40.0,1.106e-02,2.15,9.519e-02,0.6948,30,2.117e-02,6,0.3095,False,0.8368
Aasdhppt,Strong,True,co-hit|co-essentiality|co-citation|contextual,6,6,40.0,1.106e-02,2.27,9.440e-02,0.6863,30,2.283e-02,6,0.2941,False,0.8351
Pisd,Strong,True,co-hit|co-essentiality|co-citation|contextual,6,6,40.0,1.106e-02,2.83,8.387e-02,0.6743,30,2.700e-02,6,0.2358,False,0.8327
Polr2k,Strong,True,co-hit|co-essentiality|co-citation|contextual,5,5,33.333,1.990e-02,3.69,8.015e-02,0.6857,29,2.561e-02,5,0.1692,False,0.7889
Wdr92,Strong,True,co-hit|co-essentiality|co-citation|contextual,5,4,70.714,1.024e-02,2.47,9.440e-02,0.6868,30,2.283e-02,4,0.2527,False,0.8035
Gm13275,Strong,True,co-hit|co-essentiality|co-citation|contextual,4,3,45.0,1.990e-02,3.83,8.387e-02,0.6636,30,3.401e-02,4,0.1304,False,0.7011
Eif2b2,Moderate,True,co-hit|co-essentiality|co-citation|contextual,8,7,48.0,8.013e-03,2.19,7.826e-02,0.6961,30,2.117e-02,7,0.4066,False,0.844
Med12,Moderate,True,co-hit|co-essentiality|co-citation|contextual,7,6,22.167,1.429e-02,1.89,9.558e-02,0.6962,31,1.676e-02,6,0.4124,False,0.8315
Mettl16,Moderate,True,co-hit|co-essentiality|co-citation|contextual,6,6,20.0,1.990e-02,1.94,1.122e-01,0.7383,31,1.003e-02,6,0.3441,False,0.8327
Twistnb,Moderate,True,co-hit|co-essentiality|co-citation|contextual,6,6,19.0,2.139e-02,1.86,1.220e-01,0.7103,30,1.538e-02,6,0.3587,False,0.8256
Gm5795,Moderate,True,co-hit|co-essentiality|co-citation|contextual,6,6,19.0,2.139e-02,2.0,1.088e-01,0.6805,30,2.376e-02,6,0.3333,False,0.8196
Kri1,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,5,35.0,1.990e-02,2.04,1.251e-01,0.6694,30,3.025e-02,6,0.3059,False,0.7856
Gemin6,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,5,35.0,1.990e-02,2.0,1.304e-01,0.6529,30,4.201e-02,6,0.3118,False,0.7823
2810004N23Rik,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,5,16.667,3.329e-02,2.3,1.037e-01,0.7713,30,7.299e-03,5,0.2717,False,0.7948
Mrpl4,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,5,11.875,4.943e-02,2.22,1.118e-01,0.6997,30,1.952e-02,5,0.25,True,0.7719
Chd4,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,4,26.25,2.298e-02,2.28,1.110e-01,0.7093,31,1.382e-02,4,0.2432,False,0.7905
Trmt6,Moderate,True,co-hit|co-essentiality|co-citation|contextual,5,4,15.833,3.766e-02,1.69,1.834e-01,0.6857,29,2.561e-02,4,0.3696,False,0.775
C330027C09Rik,Moderate,True,co-hit|co-essentiality|co-citation|contextual,3,3,28.636,4.943e-02,1.96,2.334e-01,0.6427,30,4.945e-02,3,0.1915,False,0.5938
Wdr3,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,168.0,4.625e-03,2.64,7.477e-02,0.621,31,5.388e-02,7,0.3368,False,0.8409
Uba1,Weak,True,co-hit|co-essentiality|co-citation|contextual,9,7,155.8,4.625e-03,2.81,6.708e-02,0.6105,31,5.760e-02,7,0.3558,True,0.8388
Hist1h2bm,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,135.0,4.625e-03,2.75,7.547e-02,0.5919,31,6.490e-02,7,0.2833,False,0.8351
Gm5458,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,135.0,4.625e-03,2.9,7.547e-02,0.5726,31,8.603e-02,7,0.2683,False,0.8313
Haus5,Weak,True,co-hit|co-citation|contextual,7,7,135.0,4.625e-03,2.44,8.375e-02,0.4181,31,2.694e-01,7,0.3187,False,0.8004
Hist1h2ak,Weak,True,co-hit|co-citation|contextual,7,7,135.0,4.625e-03,5.0,6.708e-02,0.4157,31,2.730e-01,7,0.1556,False,0.7999
Slu7,Weak,True,co-hit|co-citation|contextual,7,7,135.0,4.625e-03,2.86,7.547e-02,0.404,31,2.938e-01,7,0.2718,False,0.7975
Iars2,Weak,True,co-hit|co-citation|contextual,8,7,168.0,4.625e-03,2.57,7.477e-02,0.3935,31,3.140e-01,7,0.3458,False,0.7954
Taf2,Weak,True,co-hit|co-citation|contextual,7,7,135.0,4.625e-03,2.29,8.387e-02,0.3355,31,4.280e-01,7,0.34,False,0.7838
Bap1,Weak,True,co-hit|co-citation|contextual,8,7,168.0,4.625e-03,2.51,7.477e-02,0.1625,31,7.795e-01,7,0.3534,False,0.7492
Nop14,Weak,True,co-hit|co-citation|contextual,7,7,129.0,4.820e-03,2.72,7.674e-02,0.4523,30,2.241e-01,7,0.2857,False,0.8063
Psmb3,Weak,True,co-hit|co-citation|contextual,7,7,129.0,4.820e-03,2.26,8.387e-02,0.366,30,3.775e-01,7,0.3441,True,0.789
Hist1h2bk,Weak,True,co-hit|co-citation|contextual,7,7,123.0,5.844e-03,4.57,6.708e-02,0.1448,29,8.184e-01,7,0.1702,False,0.7406
Psmb4,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,68.0,6.233e-03,2.41,7.547e-02,0.6393,28,5.659e-02,7,0.3689,True,0.8381
Dclre1b,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,70.0,6.233e-03,3.98,7.229e-02,0.6249,30,5.606e-02,7,0.1957,False,0.8352
Cct3,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,73.5,6.233e-03,2.04,9.389e-02,0.619,31,5.403e-02,7,0.381,True,0.8341
Prpf8,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,76.0,6.233e-03,2.59,7.477e-02,0.616,30,5.760e-02,7,0.3429,True,0.8335
Etf1,Weak,True,co-hit|co-essentiality|co-citation|contextual,9,7,78.111,6.233e-03,2.53,6.708e-02,0.6105,31,5.760e-02,7,0.3956,False,0.8324
Dctn6,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,73.5,6.233e-03,2.27,8.387e-02,0.5948,31,6.443e-02,7,0.3429,False,0.8292
Sf3b6,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,73.5,6.233e-03,2.41,8.387e-02,0.5944,31,6.443e-02,7,0.3222,False,0.8291
Hmgcs1,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,80.0,6.233e-03,2.83,7.477e-02,0.5839,31,7.400e-02,7,0.3143,False,0.827
Sae1,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,80.0,6.233e-03,2.75,7.477e-02,0.5714,31,8.603e-02,7,0.3235,False,0.8245
Pak1ip1,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,73.5,6.233e-03,2.2,8.387e-02,0.5714,31,8.603e-02,7,0.3535,False,0.8245
Cebpz,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,76.0,6.233e-03,2.7,7.477e-02,0.5613,30,1.007e-01,7,0.3297,False,0.8225
Cenpm,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,80.0,6.233e-03,2.09,8.250e-02,0.5528,31,1.007e-01,7,0.4255,False,0.8208
Nsl1,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,73.5,6.233e-03,2.65,7.826e-02,0.5496,31,1.051e-01,7,0.2935,False,0.8202
Rabggtb,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,117.0,6.233e-03,2.57,7.826e-02,0.5446,28,1.403e-01,7,0.303,False,0.8192
Kars,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,80.0,6.233e-03,2.74,7.477e-02,0.5331,31,1.240e-01,7,0.3241,True,0.8169
Tomm22,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,73.5,6.233e-03,2.7,7.717e-02,0.5282,31,1.308e-01,7,0.2885,False,0.8159
Tcp1,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,68.0,6.233e-03,2.07,8.387e-02,0.5129,28,1.678e-01,7,0.4286,True,0.8128
Dnajc9,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,73.5,6.233e-03,2.36,8.387e-02,0.5093,31,1.505e-01,7,0.3295,False,0.8121
Wdr12,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,70.0,6.233e-03,2.63,7.826e-02,0.507,30,1.578e-01,7,0.2952,False,0.8117
Rps25,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,80.0,6.233e-03,2.27,7.674e-02,0.504,31,1.538e-01,7,0.3908,True,0.8111
Eif3f,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,2.31,8.387e-02,0.496,31,1.594e-01,7,0.3364,False,0.8095
Supt16,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,3.46,7.477e-02,0.4798,31,1.806e-01,7,0.2246,False,0.8062
Psmb6,Weak,True,co-hit|co-citation|contextual,7,7,70.0,6.233e-03,2.2,8.387e-02,0.4799,30,1.906e-01,7,0.3529,True,0.8062
Hist1h2ai,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,3.83,7.284e-02,0.4786,31,1.810e-01,7,0.2029,False,0.806
Srfbp1,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,2.83,7.547e-02,0.4641,31,2.008e-01,7,0.2747,False,0.8031
Tubg1,Weak,True,co-hit|co-citation|contextual,7,7,70.0,6.233e-03,2.53,8.015e-02,0.4376,30,2.483e-01,7,0.3077,False,0.7978
Psmd13,Weak,True,co-hit|co-citation|contextual,7,7,70.0,6.233e-03,2.33,8.387e-02,0.426,30,2.671e-01,7,0.3333,True,0.7955
Eif5,Weak,True,co-hit|co-citation|contextual,8,7,80.0,6.233e-03,2.37,7.547e-02,0.425,31,2.580e-01,7,0.375,False,0.7953
Hist1h2bf,Weak,True,co-hit|co-citation|contextual,7,7,70.0,6.233e-03,2.58,7.826e-02,0.4158,30,2.842e-01,7,0.3019,False,0.7934
Brd4,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,3.05,7.477e-02,0.4012,31,2.976e-01,7,0.2551,False,0.7905
Rpf2,Weak,True,co-hit|co-citation|contextual,8,7,76.0,6.233e-03,2.23,7.826e-02,0.3989,30,3.149e-01,7,0.3977,False,0.79
Fdx1l,Weak,True,co-hit|co-citation|contextual,7,7,70.0,6.233e-03,2.4,8.387e-02,0.3851,30,3.392e-01,7,0.3238,False,0.7873
Arcn1,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,2.39,8.387e-02,0.3835,31,3.320e-01,7,0.3261,False,0.787
Prc1,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,2.33,8.387e-02,0.3758,31,3.451e-01,7,0.3333,False,0.7854
Sf3a2,Weak,True,co-hit|co-citation|contextual,7,7,70.0,6.233e-03,2.26,8.387e-02,0.3722,30,3.655e-01,7,0.3444,False,0.7847
Nhp2,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,2.36,8.387e-02,0.3617,31,3.748e-01,7,0.3298,False,0.7826
Bop1,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,2.33,8.387e-02,0.3435,31,4.124e-01,7,0.3333,False,0.779
Gtf2b,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,2.12,8.616e-02,0.3347,31,4.300e-01,7,0.3667,False,0.7772
Ncbp1,Weak,True,co-hit|co-citation|contextual,7,7,70.0,6.233e-03,2.02,9.400e-02,0.3157,30,4.763e-01,7,0.3846,True,0.7734
Qars,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,2.13,8.488e-02,0.304,31,4.897e-01,7,0.3647,False,0.7711
Ufd1,Weak,True,co-hit|co-citation|contextual,8,7,80.0,6.233e-03,2.67,7.477e-02,0.2903,31,5.184e-01,7,0.3333,False,0.7683
Gtf3c1,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,2.39,8.387e-02,0.2746,31,5.508e-01,7,0.3261,False,0.7652
4930467E23Rik,Weak,True,co-hit|co-citation|contextual,7,7,73.5,6.233e-03,2.18,8.387e-02,0.2435,31,6.181e-01,7,0.3571,False,0.759
Prpf40a,Weak,True,co-hit|co-citation|contextual,7,7,70.0,6.233e-03,2.95,7.477e-02,0.2022,30,7.090e-01,8,0.2636,False,0.7507
Nutf2,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,50.667,6.620e-03,2.33,7.547e-02,0.6036,31,5.906e-02,7,0.381,False,0.8297
Crcp,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,66.5,6.620e-03,2.33,8.387e-02,0.5576,29,1.139e-01,7,0.3333,False,0.8205
Copb2,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,66.5,6.620e-03,2.59,7.826e-02,0.5399,29,1.375e-01,7,0.3,True,0.8169
Gpn1,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,66.5,6.620e-03,2.44,8.375e-02,0.5296,29,1.485e-01,7,0.3187,False,0.8149
Cct5,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,50.667,6.620e-03,2.29,7.577e-02,0.5262,31,1.328e-01,7,0.3889,True,0.8142
Clp1,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,50.667,6.620e-03,2.5,7.477e-02,0.5032,31,1.540e-01,7,0.3558,False,0.8096
Emg1,Weak,True,co-hit|co-citation|contextual,8,7,50.667,6.620e-03,2.62,7.477e-02,0.4956,31,1.599e-01,7,0.3394,False,0.8081
Rpl18a,Weak,True,co-hit|co-citation|contextual,7,7,66.5,6.620e-03,2.16,8.387e-02,0.4911,29,1.868e-01,7,0.3596,True,0.8072
Hist1h2an,Weak,True,co-hit|co-citation|contextual,8,7,50.667,6.620e-03,3.27,6.708e-02,0.4835,31,1.754e-01,7,0.2714,False,0.8057
Eif3i,Weak,True,co-hit|co-citation|contextual,7,7,66.5,6.620e-03,2.43,8.387e-02,0.4744,29,2.029e-01,7,0.32,False,0.8038
Naa20,Weak,True,co-hit|co-citation|contextual,8,7,50.667,6.620e-03,2.36,7.547e-02,0.4536,31,2.121e-01,7,0.3761,False,0.7997
Psmb1,Weak,True,co-hit|co-citation|contextual,8,7,50.667,6.620e-03,2.39,7.547e-02,0.4327,31,2.462e-01,7,0.3714,True,0.7955
Rps9,Weak,True,co-hit|co-citation|contextual,7,7,66.5,6.620e-03,2.14,8.387e-02,0.1985,29,7.236e-01,7,0.3636,True,0.7487
Timm44,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,48.0,8.013e-03,2.77,7.477e-02,0.6254,30,5.606e-02,7,0.3204,False,0.8299
Gm14440,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,63.0,8.013e-03,3.02,7.477e-02,0.5364,28,1.487e-01,7,0.2571,False,0.8121
Csnk2b,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,48.0,8.013e-03,2.59,7.477e-02,0.5364,30,1.308e-01,7,0.3429,False,0.8121
Ubtf,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,48.0,8.013e-03,2.16,7.852e-02,0.5257,30,1.420e-01,7,0.4111,False,0.81
Cct4,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,48.0,8.013e-03,2.04,8.387e-02,0.5092,30,1.545e-01,7,0.4348,True,0.8067
Rpl4,Weak,True,co-hit|co-citation|contextual,8,7,48.0,8.013e-03,2.29,7.561e-02,0.4492,30,2.285e-01,7,0.3878,True,0.7947
Rpl36a,Weak,True,co-hit|co-citation|contextual,7,7,63.0,8.013e-03,2.15,8.387e-02,0.4433,28,2.630e-01,7,0.3623,True,0.7935
Sdad1,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,59.5,1.015e-02,2.21,8.387e-02,0.6453,27,5.760e-02,7,0.3523,False,0.8287
Phb2,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,45.333,1.015e-02,2.14,8.015e-02,0.5616,29,1.095e-01,7,0.4149,False,0.812
Ogt,Weak,True,co-hit|co-citation|contextual,8,7,45.333,1.015e-02,2.77,7.477e-02,0.2571,29,6.066e-01,7,0.3211,False,0.7511
Nop56,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,35.0,1.024e-02,2.24,8.387e-02,0.6266,31,5.165e-02,7,0.3474,False,0.8248
Snrpf,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,35.0,1.024e-02,2.24,8.387e-02,0.6258,31,5.197e-02,7,0.3474,False,0.8246
Atp6v1f,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,35.0,1.024e-02,2.53,8.015e-02,0.5835,31,7.431e-02,7,0.3069,False,0.8162
Rrp1,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,35.0,1.024e-02,2.05,9.255e-02,0.5536,31,1.007e-01,7,0.3789,False,0.8102
Psmg4,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,35.0,1.024e-02,2.21,8.387e-02,0.5532,31,1.007e-01,7,0.3523,False,0.8101
Cds2,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,35.0,1.024e-02,2.55,7.964e-02,0.5504,31,1.035e-01,8,0.3056,False,0.8096
Wdr36,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,35.0,1.024e-02,2.33,8.387e-02,0.5431,31,1.120e-01,7,0.3333,False,0.8081
Cct7,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,35.0,1.024e-02,1.87,9.864e-02,0.5181,31,1.419e-01,7,0.4157,False,0.8031
Psmb2,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.53,8.015e-02,0.4956,31,1.599e-01,7,0.3077,True,0.7986
Mybbp1a,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.35,8.387e-02,0.494,31,1.610e-01,7,0.3303,False,0.7983
Hist2h3c2,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.26,8.387e-02,0.4722,31,1.909e-01,7,0.3448,False,0.7939
Pold2,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.31,8.387e-02,0.4685,31,1.959e-01,8,0.3364,False,0.7932
BC061237,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.47,8.109e-02,0.4573,31,2.064e-01,7,0.3148,False,0.7909
Lsg1,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.33,8.387e-02,0.4484,31,2.196e-01,7,0.3333,False,0.7892
Timeless,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.41,8.387e-02,0.4452,31,2.241e-01,7,0.3229,False,0.7885
Armc7,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.23,8.387e-02,0.4194,31,2.669e-01,7,0.3483,False,0.7834
Hist1h2ac,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,3.29,7.477e-02,0.4089,31,2.842e-01,7,0.2361,False,0.7813
Heatr1,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.05,9.255e-02,0.3915,31,3.165e-01,7,0.3789,False,0.7778
Hnrnpl,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.07,9.080e-02,0.3778,31,3.417e-01,7,0.3763,False,0.775
Nxf1,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.27,8.387e-02,0.3573,31,3.819e-01,7,0.3429,False,0.7709
Ddx56,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.68,7.809e-02,0.3403,31,4.200e-01,7,0.2897,False,0.7675
Rpl6,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.25,8.387e-02,0.3137,31,4.690e-01,7,0.3452,True,0.7622
Abt1,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.07,9.080e-02,0.3052,31,4.870e-01,8,0.3763,False,0.7605
Utp18,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.0,9.400e-02,0.2976,31,5.015e-01,7,0.3895,False,0.759
Yeats4,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.47,8.109e-02,0.2915,31,5.163e-01,7,0.3143,False,0.7578
Sys1,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.07,9.080e-02,0.2198,31,6.666e-01,7,0.3763,False,0.7434
Sf3b4,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.24,8.387e-02,0.2125,31,6.807e-01,7,0.3474,False,0.742
Eif3c,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.53,8.015e-02,0.2077,31,6.930e-01,7,0.3077,False,0.741
Hist1h4h,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,4.18,6.708e-02,0.169,31,7.686e-01,7,0.186,False,0.7333
Ddx41,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.35,8.387e-02,0.1625,31,7.795e-01,7,0.3303,False,0.732
Dad1,Weak,True,co-hit|co-citation|contextual,7,7,35.0,1.024e-02,2.33,8.387e-02,0.1198,31,8.498e-01,7,0.3333,False,0.7234
Gtpbp4,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.36,8.387e-02,0.608,30,6.164e-02,7,0.3302,False,0.8206
Nol6,Weak,True,co-hit|co-essentiality|co-citation|contextual,8,7,36.0,1.047e-02,2.46,7.477e-02,0.606,31,5.888e-02,7,0.3617,False,0.8202
Polr3e,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.33,8.387e-02,0.6022,30,6.443e-02,7,0.3333,False,0.8194
Farsb,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.31,8.387e-02,0.6009,30,6.490e-02,7,0.3365,False,0.8192
Rps19,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.31,8.387e-02,0.5542,30,1.078e-01,7,0.3368,True,0.8098
Rpl11,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.59,7.826e-02,0.5533,30,1.093e-01,7,0.3,True,0.8097
Psma6,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,31.5,1.047e-02,2.31,8.387e-02,0.5468,29,1.275e-01,7,0.3366,True,0.8084
Ggps1,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,1.94,9.440e-02,0.5244,30,1.439e-01,7,0.4,False,0.8039
Rps27a,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,31.5,1.047e-02,1.91,9.440e-02,0.5177,29,1.545e-01,7,0.4079,True,0.8025
Hist1h3d,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.62,7.826e-02,0.5092,30,1.545e-01,7,0.2963,False,0.8008
Spc24,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,33.25,1.047e-02,2.14,8.387e-02,0.5003,30,1.625e-01,7,0.3626,False,0.7991
Tamm41,Weak,True,co-hit|co-citation|contextual,8,7,36.0,1.047e-02,2.25,7.809e-02,0.4944,31,1.607e-01,7,0.3956,False,0.7979
Snrpd2,Weak,True,co-hit|co-citation|contextual,7,7,33.25,1.047e-02,2.06,9.199e-02,0.483,30,1.868e-01,7,0.3778,True,0.7956
Gpn2,Weak,True,co-hit|co-citation|contextual,7,7,33.25,1.047e-02,2.24,8.387e-02,0.4772,30,1.936e-01,7,0.3478,False,0.7944
Nat10,Weak,True,co-hit|co-citation|contextual,7,7,33.25,1.047e-02,2.44,8.375e-02,0.4327,30,2.570e-01,7,0.3182,False,0.7855
Lsm2,Weak,True,co-hit|co-citation|contextual,7,7,31.5,1.047e-02,2.08,8.902e-02,0.4197,29,2.902e-01,7,0.3736,False,0.7829
Psmd14,Weak,True,co-hit|co-citation|contextual,7,7,33.25,1.047e-02,3.27,7.477e-02,0.4056,30,3.026e-01,7,0.2378,True,0.7801
Dars,Weak,True,co-hit|co-citation|contextual,7,7,33.25,1.047e-02,2.58,7.826e-02,0.3615,30,3.855e-01,7,0.3019,True,0.7713
Cct8,Weak,True,co-hit|co-citation|contextual,7,7,31.5,1.047e-02,2.23,8.387e-02,0.3547,29,4.133e-01,7,0.3495,False,0.7699
Ncbp2,Weak,True,co-hit|co-citation|contextual,7,7,33.25,1.047e-02,2.24,8.387e-02,0.3491,30,4.124e-01,7,0.3474,False,0.7688
Med4,Weak,True,co-hit|co-citation|contextual,7,7,33.25,1.047e-02,2.44,8.375e-02,0.333,30,4.431e-01,7,0.3187,False,0.7656
Ruvbl2,Weak,True,co-hit|co-citation|contextual,7,7,31.5,1.047e-02,2.17,8.387e-02,0.3163,29,4.862e-01,7,0.3592,False,0.7623
Med14,Weak,True,co-hit|co-citation|contextual,7,7,33.25,1.047e-02,1.94,9.440e-02,0.2943,30,5.207e-01,7,0.4,False,0.7579
Prpf6,Weak,True,co-hit|co-citation|contextual,7,7,33.25,1.047e-02,2.5,8.109e-02,0.0412,30,9.569e-01,7,0.3113,False,0.7072
Cpsf2,Weak,True,co-hit|co-citation|contextual,7,7,33.25,1.047e-02,2.12,8.616e-02,-0.0291,30,9.708e-01,7,0.3667,False,0.699
Rpl13,Weak,True,co-hit|co-citation|contextual,7,7,29.75,1.141e-02,2.05,9.299e-02,0.4537,28,2.471e-01,7,0.3793,True,0.7879
Hmgb1,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,22.167,1.429e-02,2.17,8.387e-02,0.629,31,5.165e-02,7,0.3587,False,0.818
Cct2,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,22.167,1.429e-02,2.21,8.387e-02,0.5129,31,1.487e-01,7,0.3519,True,0.7948
Eif1ad,Weak,True,co-hit|co-essentiality|co-citation|contextual,7,7,22.167,1.429e-02,2.14,8.387e-02,0.5052,31,1.518e-01,7,0.3636,False,0.7933
