gene,tier,specific,channels,n_cohit,n_cohit_pubs,odds_ratio,cohit_q,spec_enrichment,spec_q,rho,n_coess,coess_q,n_shared_pubs,hit_freq_all,is_core_essential,strength
Mrrf,Weak,True,co-hit|co-essentiality|co-citation|contextual,4,4,43.0,2.139e-02,3.25,9.440e-02,0.5507,29,1.234e-01,4,0.1538,False,0.727
Fnbp4,Weak,True,co-hit|co-citation|contextual,4,4,43.0,2.139e-02,3.71,8.597e-02,0.3744,29,3.737e-01,5,0.1348,False,0.6917
Tmem126b,Weak,True,co-hit|co-citation|contextual,4,4,43.0,2.139e-02,4.05,8.387e-02,0.2808,29,5.598e-01,4,0.1236,False,0.673
Ubc,Weak,True,co-hit|co-citation|contextual,4,4,43.0,2.139e-02,4.59,8.387e-02,0.2084,29,7.059e-01,4,0.1089,False,0.6585
Adipor1,Weak,True,co-hit|co-citation|contextual,4,4,43.0,2.139e-02,5.1,7.852e-02,0.1872,29,7.437e-01,4,0.098,False,0.6543
Smarcc1,Weak,True,co-hit|co-citation|contextual,4,4,43.0,2.139e-02,4.91,8.109e-02,0.1828,29,7.540e-01,4,0.1019,False,0.6534
Gns,Weak,True,co-hit|co-citation|contextual,4,4,43.0,2.139e-02,12.5,6.708e-02,0.1596,29,7.908e-01,4,0.04,False,0.6487
Pbrm1,Weak,True,co-hit|co-citation|contextual,4,4,43.0,2.139e-02,3.62,8.839e-02,0.1355,29,8.331e-01,4,0.1383,False,0.6439
Gm10228,Weak,True,co-hit|co-citation|contextual,4,4,43.0,2.139e-02,3.33,9.400e-02,0.0941,29,8.919e-01,4,0.15,False,0.6356
Vmn1r94,Weak,True,co-hit|co-citation|contextual,4,4,43.0,2.139e-02,4.1,8.387e-02,0.0768,29,9.144e-01,4,0.122,False,0.6322
Smg1,Weak,True,co-hit|co-citation|contextual,4,4,43.0,2.139e-02,4.18,8.387e-02,-0.1074,29,8.765e-01,5,0.1197,False,0.6168
AU019823,Weak,True,co-hit|co-citation|contextual,5,4,26.25,2.298e-02,3.76,8.109e-02,0.3407,31,4.191e-01,4,0.1477,False,0.7167
Gm21319,Weak,True,co-hit|co-citation|contextual,4,4,36.818,2.298e-02,3.26,9.440e-02,0.3024,31,4.924e-01,4,0.1364,False,0.6757
Gm5891,Weak,True,co-hit|co-citation|contextual,4,4,36.818,2.298e-02,3.64,8.902e-02,0.2726,31,5.568e-01,4,0.122,False,0.6698
Dmxl1,Weak,True,co-hit|co-citation|contextual,4,4,36.818,2.298e-02,3.91,8.387e-02,0.2504,31,6.030e-01,4,0.1136,False,0.6653
Sgo1,Weak,True,co-hit|co-citation|contextual,4,4,36.818,2.298e-02,4.74,8.387e-02,0.2363,31,6.362e-01,4,0.0938,False,0.6625
Pum3,Weak,True,co-hit|co-citation|contextual,4,4,36.818,2.298e-02,3.28,9.440e-02,0.2234,31,6.625e-01,4,0.1356,False,0.6599
Arpp19,Weak,True,co-hit|co-citation|contextual,4,4,35.182,2.432e-02,4.49,8.387e-02,0.4149,30,2.858e-01,4,0.099,False,0.697
Pigw,Weak,True,co-hit|co-citation|contextual,5,4,25.0,2.432e-02,4.53,7.547e-02,0.1978,30,7.181e-01,4,0.1226,False,0.6869
Gm10767,Weak,True,co-hit|co-citation|contextual,4,4,35.182,2.432e-02,3.06,9.672e-02,0.2952,30,5.184e-01,4,0.1455,False,0.6731
Dnajc24,Weak,True,co-hit|co-citation|contextual,4,4,35.182,2.432e-02,4.04,8.387e-02,0.1715,30,7.693e-01,4,0.1099,False,0.6483
Drg1,Weak,True,co-hit|co-citation|contextual,5,4,25.0,2.432e-02,5.11,7.477e-02,-0.1622,30,7.844e-01,4,0.1087,False,0.6474
Tfap4,Weak,True,co-hit|co-citation|contextual,5,4,25.0,2.432e-02,3.77,8.109e-02,-0.261,30,5.887e-01,4,0.1474,False,0.6474
Vmn1r183,Weak,True,co-hit|co-citation|contextual,4,4,35.182,2.432e-02,3.24,9.440e-02,0.16,30,7.864e-01,4,0.1373,False,0.646
Cluh,Weak,True,co-hit|co-citation|contextual,4,4,35.182,2.432e-02,3.15,9.440e-02,0.0656,30,9.264e-01,4,0.1413,False,0.6272
Usp1,Weak,True,co-hit|co-citation|contextual,4,4,35.182,2.432e-02,6.86,7.477e-02,0.0318,30,9.678e-01,4,0.0647,False,0.6204
Pcnx4,Weak,True,co-hit|co-citation|contextual,4,4,35.182,2.432e-02,7.91,7.477e-02,-0.5057,30,1.578e-01,4,0.0562,False,0.614
Gm14308,Weak,True,co-hit|co-citation|contextual,4,4,35.182,2.432e-02,3.38,9.400e-02,-0.0154,30,9.868e-01,4,0.1316,False,0.614
Vmn2r38,Weak,True,co-hit|co-essentiality|co-citation|contextual,5,4,16.667,3.329e-02,2.94,8.387e-02,0.56,30,1.014e-01,6,0.2128,False,0.7526
Hbs1l,Weak,True,co-hit|co-citation|contextual,5,4,16.667,3.329e-02,2.47,9.440e-02,0.2836,30,5.427e-01,4,0.2529,False,0.6973
Alg3,Weak,True,co-hit|co-citation|contextual,5,4,16.667,3.329e-02,3.21,8.387e-02,0.2449,30,6.257e-01,4,0.1944,False,0.6895
Amy2a3,Weak,True,co-hit|co-citation|contextual,5,4,22.5,3.329e-02,3.58,8.387e-02,0.1171,28,8.651e-01,4,0.1552,False,0.664
Mettl14,Weak,True,co-hit|co-essentiality|co-citation|contextual,6,4,13.5,3.478e-02,2.11,9.440e-02,0.6214,30,5.659e-02,5,0.3558,False,0.7972
Ccm2,Weak,True,co-hit|co-citation|contextual,5,4,15.833,3.766e-02,3.03,8.387e-02,0.2404,29,6.443e-01,4,0.2065,False,0.6859
Tk1,Weak,True,co-hit|co-citation|contextual,5,4,15.833,3.766e-02,3.39,8.387e-02,0.1601,29,7.900e-01,5,0.1845,False,0.6699
Senp1,Weak,True,co-hit|co-citation|contextual,5,4,15.833,3.766e-02,7.08,6.708e-02,-0.0675,29,9.252e-01,4,0.0882,False,0.6379
Nup98,Weak,True,co-hit|co-citation|contextual,5,4,12.5,4.891e-02,3.38,8.387e-02,0.4742,31,1.879e-01,4,0.1644,True,0.727
Mbtd1,Weak,True,co-hit|co-essentiality|co-citation|contextual,4,4,21.0,4.891e-02,5.94,7.547e-02,0.6138,30,5.889e-02,4,0.0841,False,0.7216
Wbp4,Weak,True,co-hit|co-essentiality|co-citation|contextual,4,4,21.0,4.891e-02,3.32,9.400e-02,0.5172,30,1.505e-01,4,0.1505,False,0.7023
Tpx2,Weak,True,co-hit|co-essentiality|co-citation|contextual,4,4,21.0,4.891e-02,3.5,9.239e-02,0.5052,30,1.578e-01,4,0.1429,False,0.6999
Cwf19l2,Weak,True,co-hit|co-citation|contextual,4,4,21.0,4.891e-02,3.42,9.393e-02,0.4309,30,2.594e-01,4,0.1461,False,0.685
Mrpl38,Weak,True,co-hit|co-citation|contextual,5,4,12.5,4.891e-02,2.58,9.440e-02,0.204,31,7.006e-01,4,0.2154,True,0.673
Tmem69,Weak,True,co-hit|co-citation|contextual,4,4,21.0,4.891e-02,7.5,7.477e-02,0.2561,30,5.990e-01,4,0.0667,False,0.6501
Cope,Weak,True,co-hit|co-citation|contextual,5,4,12.5,4.891e-02,2.65,9.440e-02,-0.0573,31,9.350e-01,4,0.2095,False,0.6322
Kctd10,Weak,True,co-hit|co-citation|contextual,4,4,21.0,4.891e-02,4.04,8.387e-02,0.0527,30,9.436e-01,4,0.1238,False,0.6094
Epc2,Weak,True,co-hit|co-citation|contextual,4,4,21.0,4.891e-02,3.43,9.393e-02,0.0509,30,9.462e-01,4,0.1458,False,0.609
Slc25a46,Weak,True,co-hit|co-citation|contextual,4,4,21.0,4.891e-02,5.61,7.717e-02,0.0127,30,9.883e-01,4,0.0891,False,0.6014
Atp2b1,Weak,True,co-hit|co-citation|contextual,6,4,11.25,4.943e-02,2.79,8.387e-02,0.4542,27,2.587e-01,5,0.2692,False,0.7561
Usp30,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,5.05,7.970e-02,0.4966,29,1.780e-01,4,0.099,False,0.698
Scgb2b17,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,3.14,9.440e-02,0.4286,29,2.740e-01,5,0.1591,False,0.6844
Gpatch1,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,2.97,9.899e-02,0.3616,29,3.986e-01,5,0.1685,False,0.671
Cbwd1,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,4.6,8.387e-02,0.3335,29,4.531e-01,4,0.1087,False,0.6653
Nckap1,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,3.29,9.440e-02,0.2744,29,5.729e-01,4,0.1522,False,0.6535
Siva1,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,3.14,9.440e-02,0.2468,29,6.327e-01,4,0.1591,False,0.648
Apc,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,6.2,7.547e-02,0.2094,29,7.042e-01,4,0.0806,False,0.6405
Tsc22d2,Weak,True,co-hit|co-citation|contextual,4,4,19.0,4.943e-02,4.45,8.387e-02,0.1959,28,7.348e-01,4,0.1124,False,0.6378
Prmt3,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,6.69,7.477e-02,0.1852,29,7.483e-01,4,0.0748,False,0.6357
Ap1m1,Weak,True,co-hit|co-citation|contextual,5,4,11.875,4.943e-02,2.48,9.878e-02,-0.0598,30,9.328e-01,4,0.2243,False,0.632
Atm,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,3.08,9.440e-02,0.1488,29,8.125e-01,4,0.1625,False,0.6284
Brpf1,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,3.03,9.528e-02,0.0685,29,9.239e-01,4,0.1651,False,0.6123
Ppp5c,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,7.64,7.477e-02,-0.0857,29,9.016e-01,4,0.0654,False,0.5986
Fto,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,7.67,7.477e-02,-0.0345,29,9.652e-01,4,0.0652,False,0.5986
Pex5,Weak,True,co-hit|co-citation|contextual,4,4,20.0,4.943e-02,4.17,8.387e-02,-0.2,29,7.205e-01,4,0.12,False,0.5986
Mtg2,Weak,True,co-hit|co-essentiality|co-citation|contextual,4,4,10.0,7.555e-02,1.34,3.777e-01,0.7317,30,1.220e-02,4,0.3736,False,0.7358
