gene,rho,n_coess,coess_p,hit_freq_all
Zfp92,-0.4493,29,1.449e-02,0.0337
Ubqln2,0.4493,29,1.449e-02,0.0196
Rag1,-0.4493,29,1.449e-02,0.0
Dqx1,-0.4493,29,1.449e-02,0.0194
Pnma3,-0.4493,29,1.449e-02,0.0
Rpl4,0.4492,30,1.278e-02,0.3878
Thbs4,-0.4488,29,1.461e-02,0.0889
Fbxo4,-0.4488,29,1.461e-02,0.0
Elmo2,0.4488,29,1.461e-02,0.1
Rgs11,-0.4488,29,1.461e-02,0.01
Nelfb,0.4487,30,1.288e-02,0.4176
Btbd35f5,-0.4485,25,2.455e-02,0.0323
Lsg1,0.4484,31,1.141e-02,0.3333
Mfsd12,-0.4483,29,1.473e-02,0.044
Riok1,0.4483,29,1.473e-02,0.2991
Olfr136,-0.4483,29,1.473e-02,0.0
Cemip,-0.4478,29,1.486e-02,0.0114
Olfr556,-0.4478,29,1.486e-02,0.037
Erbb3,0.4473,29,1.498e-02,0.0291
Fbxo42,0.4473,29,1.498e-02,0.098
4933417A18Rik,-0.4473,29,1.498e-02,0.0
G3bp2,-0.4473,29,1.498e-02,0.0297
Stc1,-0.4473,29,1.498e-02,0.0196
Panx2,-0.4473,29,1.498e-02,0.0196
Xrcc2,0.4472,31,1.166e-02,0.2429
Gm5615,-0.4468,29,1.511e-02,0.0125
Snrnp200,0.4468,29,1.511e-02,0.3137
Adam7,-0.4468,29,1.511e-02,0.01
Olfr53,0.4463,29,1.523e-02,0.0247
Gpr83,-0.4463,29,1.523e-02,0.0
Kiss1,-0.4463,29,1.523e-02,0.0337
E2f6,-0.4463,29,1.523e-02,0.0549
Calcr,-0.4463,29,1.523e-02,0.01
Rpl21,0.4461,30,1.349e-02,0.3019
Arid4a,-0.446,31,1.192e-02,0.1468
Cxcl1,-0.4458,29,1.536e-02,0.0196
Mdk,-0.4458,29,1.536e-02,0.0111
Gm595,-0.4458,29,1.536e-02,0.037
Trip13,0.4456,30,1.359e-02,0.1077
Rfc2,0.4456,30,1.359e-02,0.3333
Snrpg,0.4455,28,1.750e-02,0.4157
Gm20604,0.4453,29,1.548e-02,0.1224
Nkx1-2,-0.4453,29,1.548e-02,0.0337
Cdh12,-0.4453,29,1.548e-02,0.0115
Timeless,0.4452,31,1.209e-02,0.3229
Sec22b,0.4452,30,1.370e-02,0.3297
Hspd1,0.4452,31,1.209e-02,0.3165
Zcrb1,0.4452,30,1.370e-02,0.0659
Mdga1,-0.4452,30,1.370e-02,0.033
Dnajc11,0.4452,31,1.209e-02,0.2364
Oxa1l,0.4448,31,1.218e-02,0.2477
Pcolce2,0.4448,29,1.561e-02,0.0449
Card6,0.4448,29,1.561e-02,0.0455
Olfm1,-0.4448,29,1.561e-02,0.0
Psap,-0.4448,29,1.561e-02,0.0194
Rheb,0.4447,30,1.380e-02,0.1635
Tcaf1,-0.4446,29,1.566e-02,0.0225
Bmp6,-0.4443,30,1.391e-02,0.0341
Pdpk1,0.4443,30,1.391e-02,0.1308
1700074P13Rik,-0.4443,29,1.574e-02,0.0227
Pars2,0.4443,30,1.391e-02,0.3303
Mtrf1,-0.4443,29,1.574e-02,0.0112
Uxt,0.4443,30,1.391e-02,0.3333
Rpl14,0.4443,29,1.574e-02,0.4205
Prss23,-0.4443,29,1.574e-02,0.0444
Elfn2,-0.444,31,1.236e-02,0.0652
Gm5797,0.4438,30,1.402e-02,0.3182
Exoc4,0.4438,29,1.587e-02,0.1731
Olfr2,-0.4438,30,1.402e-02,0.0125
Klhl23,-0.4438,29,1.587e-02,0.0297
Chrm4,-0.4438,29,1.587e-02,0.0196
Mrpl57,0.4435,31,1.244e-02,0.3474
Ankib1,-0.4434,30,1.413e-02,0.0388
Ccdc58,0.4434,30,1.413e-02,0.022
Rps23,0.4433,29,1.600e-02,0.3929
Tomm5,0.4433,29,1.600e-02,0.0805
Tmem63c,-0.4433,29,1.600e-02,0.0333
Rpl36a,0.4433,28,1.813e-02,0.3623
Slc16a7,-0.4429,29,1.613e-02,0.01
Patj,-0.4429,29,1.613e-02,0.0588
Tusc5,-0.4429,29,1.613e-02,0.0349
Utp20,0.4425,30,1.434e-02,0.3085
Prelid3b,0.4424,29,1.627e-02,0.3516
Uba52,0.4424,29,1.627e-02,0.3448
Slc25a24,-0.4424,29,1.627e-02,0.0333
Mrm3,0.442,30,1.445e-02,0.1078
Gm4787,-0.442,30,1.445e-02,0.0
Srsf10,0.442,30,1.445e-02,0.3011
Gapvd1,0.4419,29,1.640e-02,0.0187
Pou3f4,-0.4419,29,1.640e-02,0.0345
Fah,-0.4419,29,1.640e-02,0.0
Polrmt,0.4419,29,1.640e-02,0.2857
Rps26,0.4416,30,1.456e-02,0.407
Timm22,0.4416,30,1.456e-02,0.3039
Olfr1371,0.4415,31,1.290e-02,0.1111
Clvs1,-0.4414,29,1.653e-02,0.0345
Ppm1g,0.4412,30,1.468e-02,0.1471
Mtmr9,0.4412,30,1.468e-02,0.0762
Xrcc3,0.4412,30,1.468e-02,0.2536
Ociad2,-0.4412,30,1.468e-02,0.0374
Ahcyl2,-0.4409,29,1.667e-02,0.0
Olfr295,0.4409,29,1.667e-02,0.0633
1110012L19Rik,-0.4409,29,1.667e-02,0.0682
Mrps14,0.4407,30,1.479e-02,0.3368
Olfr1451,-0.4404,29,1.681e-02,0.0125
Ssbp2,-0.4404,29,1.681e-02,0.0111
Rps28,0.4403,30,1.490e-02,0.4176
Sp8,-0.4403,30,1.490e-02,0.044
Exosc4,0.4403,31,1.318e-02,0.3333
Olfr20,0.4399,29,1.694e-02,0.0652
Egr1,0.4399,29,1.694e-02,0.0408
A630095E13Rik,-0.4399,29,1.694e-02,0.0114
Thoc7,0.4398,30,1.501e-02,0.2273
Tubb1,0.4394,29,1.708e-02,0.01
1700025G04Rik,0.4394,29,1.708e-02,0.0115
Vmn1r233,-0.4394,29,1.708e-02,0.0122
Lrp1,0.4394,29,1.708e-02,0.0288
Prpf18,0.4394,30,1.513e-02,0.1584
Chchd4,0.4391,31,1.346e-02,0.1628
Rpl36,0.439,28,1.944e-02,0.4038
Tldc2,0.4389,29,1.722e-02,0.046
Psmg1,0.4389,30,1.524e-02,0.2247
Tnfaip2,-0.4389,29,1.722e-02,0.0222
Ncald,-0.4389,30,1.524e-02,0.0112
Nova2,0.4385,30,1.536e-02,0.0
Cited2,-0.4385,30,1.536e-02,0.1522
Myo1g,0.4384,29,1.736e-02,0.0674
Fads6,0.4384,29,1.736e-02,0.0426
Prf1,-0.4384,29,1.736e-02,0.0112
Ptgdr2,-0.4384,29,1.736e-02,0.0449
Chaf1b,0.4383,31,1.365e-02,0.3357
Armc5,0.438,30,1.547e-02,0.2151
H2al1o,0.438,30,1.547e-02,0.0222
Cmtm3,0.4379,29,1.750e-02,0.0455
Ppp1r3g,0.4379,29,1.750e-02,0.0562
Cdca5,0.4379,29,1.750e-02,0.2598
Txndc16,-0.4379,29,1.750e-02,0.0099
Tubg1,0.4376,30,1.559e-02,0.3077
Vmn1r20,0.4376,30,1.559e-02,0.06
Olfr611,0.4374,29,1.764e-02,0.0247
Gmds,-0.4374,29,1.764e-02,0.0392
Ift43,-0.4374,29,1.764e-02,0.0562
Gm904,0.4372,30,1.571e-02,0.1591
Vmn2r28,0.4372,30,1.571e-02,0.0635
Tmem248,0.4372,30,1.571e-02,0.0222
Usp25,-0.4369,29,1.779e-02,0.0099
Selenom,0.4369,29,1.779e-02,0.0581
Themis2,-0.4369,29,1.779e-02,0.0115
Egfem1,-0.4369,29,1.779e-02,0.0227
Prl2b1,-0.4369,29,1.779e-02,0.0
Akr1c18,-0.4369,29,1.779e-02,0.0198
Cenpo,0.4367,31,1.404e-02,0.3723
Cenpw,0.4367,31,1.404e-02,0.3483
Smc2,0.4367,31,1.404e-02,0.2946
Lsm8,0.4365,27,2.282e-02,0.3462
Olfr906,0.4365,29,1.793e-02,0.0247
Ccdc166,-0.4365,29,1.793e-02,0.0119
Mat2a,0.4363,31,1.414e-02,0.3019
Dnlz,0.4363,30,1.595e-02,0.2979
Med18,0.4363,30,1.595e-02,0.3043
Npc1l1,0.436,29,1.807e-02,0.0571
Cdk14,-0.436,29,1.807e-02,0.019
Sst,-0.436,29,1.807e-02,0.0
D030056L22Rik,0.436,29,1.807e-02,0.0341
Chrd,-0.436,29,1.807e-02,0.0
Fthl17a,-0.436,29,1.807e-02,0.0179
C2cd2,-0.436,29,1.807e-02,0.023
Apex2,0.436,29,1.807e-02,0.1079
Rpl29,0.4358,30,1.607e-02,0.1653
Akirin2,0.4358,30,1.607e-02,0.2391
Nup210l,-0.4355,29,1.822e-02,0.022
Zscan4b,0.4354,30,1.619e-02,0.0357
Tcea1,0.4354,30,1.619e-02,0.1277
Olfr449,0.435,29,1.837e-02,0.0247
4930558K02Rik,-0.435,29,1.837e-02,0.0112
Tepp,-0.435,29,1.837e-02,0.0119
Mcm4,0.4347,31,1.454e-02,0.3084
4921501E09Rik,-0.4345,29,1.851e-02,0.0116
Thsd7a,0.4345,29,1.851e-02,0.0116
Zc3h12d,-0.4345,29,1.851e-02,0.0112
Sh3bgrl2,-0.4345,29,1.851e-02,0.0227
Tas2r131,-0.4345,30,1.643e-02,0.0297
Htra2,-0.4345,30,1.643e-02,0.0192
Ankrd11,0.434,29,1.866e-02,0.2674
Scn1a,0.434,29,1.866e-02,0.0202
Cpn2,-0.434,29,1.866e-02,0.0667
Camkk2,-0.434,30,1.656e-02,0.0388
Sfrp5,-0.434,30,1.656e-02,0.0495
Hdac6,-0.434,29,1.866e-02,0.0286
Dkc1,0.434,30,1.656e-02,0.3592
Clec2d,-0.434,30,1.656e-02,0.0217
Sept11,0.4338,25,3.025e-02,0.0345
Gsg1,-0.4336,30,1.668e-02,0.0222
Gm19402,0.4335,31,1.485e-02,0.038
Prdm6,-0.4335,29,1.881e-02,0.0098
Spint5,-0.4335,29,1.881e-02,0.0115
Klc4,-0.4335,29,1.881e-02,0.0556
Gmps,0.4331,31,1.495e-02,0.2642
Hist3h2a,0.4331,31,1.495e-02,0.0873
Hist1h2ah,0.4331,31,1.495e-02,0.1667
Metap2,0.4331,30,1.680e-02,0.2981
Ciita,-0.433,29,1.896e-02,0.043
Nat10,0.4327,30,1.693e-02,0.3182
Psmb1,0.4327,31,1.506e-02,0.3714
Wls,-0.4327,30,1.693e-02,0.0556
Rbmx2,0.4327,30,1.693e-02,0.2935
Gosr2,0.4327,30,1.693e-02,0.2286
Unkl,-0.4327,30,1.693e-02,0.0396
Chac2,0.4325,29,1.911e-02,0.0465
Tnfsf10,-0.4325,29,1.911e-02,0.023
Prrg1,-0.4325,29,1.911e-02,0.0341
Csf1,-0.4325,29,1.911e-02,0.03
Nudt4,0.4323,30,1.705e-02,0.068
Asna1,0.4323,31,1.516e-02,0.3208
Sycp2,-0.432,29,1.927e-02,0.0444
Atp11b,0.432,29,1.927e-02,0.0198
Zfp111,-0.432,29,1.927e-02,0.0115
Hltf,-0.432,29,1.927e-02,0.0208
Rbm26,-0.432,29,1.927e-02,0.0467
Ints9,0.4319,31,1.527e-02,0.3196
Alx1,-0.4318,30,1.718e-02,0.0326
Cltc,0.4315,31,1.537e-02,0.3333
Amigo1,0.4315,29,1.942e-02,0.0225
Tnr,-0.4315,29,1.942e-02,0.0297
Cenpa,0.4315,31,1.537e-02,0.3232
Olfr1361,-0.4315,29,1.942e-02,0.0366
Sod3,-0.4315,29,1.942e-02,0.0101
Casr,-0.4315,29,1.942e-02,0.0202
Maf,-0.4314,30,1.731e-02,0.0108
Pde4a,-0.4314,30,1.731e-02,0.0485
Cdc27,0.431,31,1.548e-02,0.2727
Tsc22d1,-0.431,29,1.957e-02,0.0116
Gjb1,-0.431,29,1.957e-02,0.0
Lamtor1,0.431,31,1.548e-02,0.3617
Cwf19l2,0.4309,30,1.744e-02,0.1461
Nkrf,-0.4309,30,1.744e-02,0.0323
2310057M21Rik,0.4305,29,1.973e-02,0.0278
S100a2,-0.4305,29,1.973e-02,0.0115
Tdp1,-0.4305,29,1.973e-02,0.0441
Ccdc142,-0.4305,29,1.973e-02,0.0114
Lsm11,0.43,30,1.770e-02,0.3258
Pramel6,0.43,29,1.989e-02,0.0698
Rhov,0.43,29,1.989e-02,0.0097
Gm11554,0.43,29,1.989e-02,0.1
Gm14305,0.43,30,1.770e-02,0.0789
Pkd2l1,0.4296,29,2.004e-02,0.0396
Ntsr1,-0.4296,29,2.004e-02,0.03
Psmd7,0.4296,30,1.783e-02,0.3077
Stard7,0.4296,29,2.004e-02,0.1848
Cck,-0.4296,29,2.004e-02,0.0227
Zfp319,-0.4296,29,2.004e-02,0.027
Cd33,-0.4296,29,2.004e-02,0.0225
Parp9,-0.4291,29,2.020e-02,0.0211
Fkbp14,-0.4291,30,1.796e-02,0.0097
Zfp994,-0.4291,29,2.020e-02,0.0513
Atg5,-0.4291,30,1.796e-02,0.2326
Stx11,-0.4291,29,2.020e-02,0.0404
Gm5726,0.4291,28,2.269e-02,0.1026
Zdhhc3,-0.4291,29,2.020e-02,0.022
Ddx21,0.429,31,1.602e-02,0.3211
Rdh8,-0.4287,30,1.809e-02,0.0294
Tubgcp3,0.4287,30,1.809e-02,0.25
Vmn2r62,0.4287,30,1.809e-02,0.0638
Scgb2b17,0.4286,29,2.036e-02,0.1591
Olfr23,0.4286,29,2.036e-02,0.061
Mblac1,-0.4286,29,2.036e-02,0.0225
Tpgs1,-0.4286,29,2.036e-02,0.0112
Gpr37,0.4286,29,2.036e-02,0.0291
Samsn1,-0.4286,29,2.036e-02,0.0225
Fxr2,-0.4283,30,1.823e-02,0.0583
Mcm7,0.4283,30,1.823e-02,0.3388
St3gal1,-0.4281,29,2.052e-02,0.0291
Olfr1489,-0.4281,29,2.052e-02,0.0125
Mrpl37,0.4278,31,1.636e-02,0.3364
Pola1,0.4278,31,1.636e-02,0.2897
Diexf,0.4278,31,1.636e-02,0.1954
Snapc2,0.4278,30,1.836e-02,0.2283
Clec2h,-0.4278,30,1.836e-02,0.0115
Eif4a1,0.4278,30,1.836e-02,0.3913
Ppp2ca,0.4278,30,1.836e-02,0.2451
Lzts1,-0.4276,29,2.068e-02,0.0556
Arhgap39,-0.4276,29,2.068e-02,0.0645
Stam2,0.4276,29,2.068e-02,0.0198
Wdr63,-0.4276,29,2.068e-02,0.023
Nkx2-3,-0.4276,29,2.068e-02,0.0111
Crls1,0.4274,30,1.849e-02,0.243
Tfam,0.4274,30,1.849e-02,0.1964
Cdh18,0.4271,29,2.085e-02,0.0227
Card11,0.4271,29,2.085e-02,0.0194
Nudt2,-0.4271,29,2.085e-02,0.0198
Gbp6,0.4271,29,2.085e-02,0.1045
Tmem42,-0.4271,29,2.085e-02,0.023
Ehhadh,-0.4271,29,2.085e-02,0.0288
Copz1,0.427,31,1.658e-02,0.2667
Vmn1r132,0.4269,30,1.863e-02,0.186
Actn1,-0.4269,30,1.863e-02,0.0435
Ceacam18,-0.4269,30,1.863e-02,0.0562
Fthl17b,0.4267,27,2.643e-02,0.0571
Coil,0.4266,29,2.101e-02,0.05
Emp2,-0.4266,29,2.101e-02,0.0326
Il25,-0.4266,29,2.101e-02,0.0093
Sptbn2,-0.4266,29,2.101e-02,0.0114
Rims2,-0.4266,29,2.101e-02,0.0331
Hpdl,0.4266,29,2.101e-02,0.044
Akap2,-0.4265,30,1.877e-02,0.1053
Cthrc1,-0.4265,30,1.877e-02,0.0444
Ufc1,0.4265,30,1.877e-02,0.1923
Gemin5,0.4262,31,1.681e-02,0.2787
Sprtn,0.4262,31,1.681e-02,0.2143
Tmem202,-0.4261,29,2.118e-02,0.0114
Psmd13,0.426,30,1.890e-02,0.3333
Mrpl15,0.426,30,1.890e-02,0.2234
Top3a,0.4258,31,1.693e-02,0.3846
Bcl3,-0.4256,30,1.904e-02,0.0109
Pgr15l,-0.4256,30,1.904e-02,0.0556
Trim61,-0.4256,29,2.134e-02,0.0185
Olfr447,-0.4256,29,2.134e-02,0.0125
Syn1,-0.4256,29,2.134e-02,0.0097
Asb9,-0.4256,29,2.134e-02,0.0099
Rpl39,0.4255,27,2.691e-02,0.2727
Isy1,0.4254,31,1.704e-02,0.2921
Gfer,0.4251,29,2.151e-02,0.2762
Robo3,0.4251,29,2.151e-02,0.0222
Rchy1,-0.4251,29,2.151e-02,0.0
Poln,-0.4251,29,2.151e-02,0.0164
Eif5,0.425,31,1.716e-02,0.375
Vmn1r28,0.425,31,1.716e-02,0.0476
Rad50,0.4247,30,1.932e-02,0.2448
Uba2,0.4246,31,1.728e-02,0.3585
Gm10662,0.4246,31,1.728e-02,0.1739
Klhl6,-0.4246,29,2.168e-02,0.0225
Zdhhc15,-0.4246,29,2.168e-02,0.0198
Lima1,0.4246,29,2.168e-02,0.0
Slc35c1,-0.4246,29,2.168e-02,0.0294
Ptpn20,-0.4246,29,2.168e-02,0.0
Ercc1,0.4242,30,1.946e-02,0.05
Lrrc20,-0.4242,30,1.946e-02,0.0
Aldh18a1,-0.4241,29,2.185e-02,0.049
Aaas,-0.4241,29,2.185e-02,0.125
Spats2l,-0.4241,29,2.185e-02,0.0341
Pld2,-0.4241,29,2.185e-02,0.0194
Mrpl28,0.4238,30,1.960e-02,0.2391
Med30,0.4238,31,1.751e-02,0.2473
Caml,0.4238,30,1.960e-02,0.2736
Igsf8,-0.4236,29,2.202e-02,0.022
Sema3c,-0.4236,29,2.202e-02,0.0111
Rmdn2,0.4232,29,2.219e-02,0.0337
S100a10,-0.4232,29,2.219e-02,0.011
Dctd,-0.4232,29,2.219e-02,0.0392
Tsx,-0.4232,29,2.219e-02,0.0114
Mrpl35,0.4229,30,1.989e-02,0.2637
Cdc73,0.4229,30,1.989e-02,0.3243
Arl6ip1,0.4229,30,1.989e-02,0.0444
Erbin,0.4227,29,2.236e-02,0.0341
Kit,-0.4227,29,2.236e-02,0.0194
Serpina1d,0.4227,29,2.236e-02,0.0412
Aen,0.4227,29,2.236e-02,0.098
Klk8,-0.4227,29,2.236e-02,0.0291
Chga,-0.4227,29,2.236e-02,0.0
Sele,-0.4227,29,2.236e-02,0.0
Dnajc2,0.4225,30,2.003e-02,0.3019
Nubp1,0.4225,30,2.003e-02,0.3596
Rbpms,-0.4225,30,2.003e-02,0.0978
Scn5a,-0.4222,29,2.253e-02,0.0198
Ccnt1,0.422,30,2.018e-02,0.1905
Lancl2,-0.422,30,2.018e-02,0.0333
Grb2,0.4217,29,2.271e-02,0.21
Hif3a,-0.4217,29,2.271e-02,0.0111
Slc2a2,-0.4217,29,2.271e-02,0.0194
Olfr196,0.4217,29,2.271e-02,0.0357
E2f7,-0.4217,29,2.271e-02,0.0556
Hoxd9,-0.4217,29,2.271e-02,0.0111
Nid2,0.4217,29,2.271e-02,0.0
Ska2,0.4216,30,2.032e-02,0.3023
Lhfpl1,-0.4216,30,2.032e-02,0.0455
Nelfcd,0.4214,31,1.824e-02,0.2717
Ppt1,0.4212,29,2.288e-02,0.0385
Rgs12,-0.4212,29,2.288e-02,0.0182
Chn1,-0.4207,29,2.306e-02,0.0345
Ndufa1,0.4207,30,2.062e-02,0.3269
Tmem59,-0.4207,29,2.306e-02,0.0108
Scgb1b7,0.4206,31,1.848e-02,0.2917
Cdan1,0.4206,31,1.848e-02,0.2333
Copb1,0.4206,31,1.848e-02,0.2736
Efcab12,0.4202,29,2.324e-02,0.0247
Dctn4,0.4202,29,2.324e-02,0.2955
Yipf2,-0.4202,29,2.324e-02,0.0111
1700109H08Rik,-0.4202,29,2.324e-02,0.0227
H2afx,0.4202,30,2.077e-02,0.1094
Pcdhac2,0.42,25,3.659e-02,0.0361
Mrpl53,0.4198,30,2.092e-02,0.2697
Gas1,-0.4198,30,2.092e-02,0.0549
Lsm2,0.4197,29,2.342e-02,0.3736
Slc30a1,-0.4197,29,2.342e-02,0.0194
Fam168a,-0.4197,29,2.342e-02,0.0568
Capn7,-0.4197,29,2.342e-02,0.022
Pramef8,0.4197,29,2.342e-02,0.0345
Atp5a1,0.4194,30,2.107e-02,0.3495
Armc7,0.4194,31,1.886e-02,0.3483
Naf1,0.4194,30,2.107e-02,0.3077
Tro,-0.4194,30,2.107e-02,0.0333
Pmfbp1,0.4192,29,2.360e-02,0.0111
Tbc1d22b,-0.4192,29,2.360e-02,0.0449
Ugt2b35,0.4192,29,2.360e-02,0.0392
Mbd5,-0.4192,29,2.360e-02,0.0267
Rhox11,-0.4192,29,2.360e-02,0.0
Nvl,0.419,31,1.898e-02,0.2979
Hist1h1d,0.4189,30,2.122e-02,0.1277
Cyb561d2,-0.4189,30,2.122e-02,0.0196
Alppl2,-0.4187,29,2.378e-02,0.0196
Celf2,-0.4187,29,2.378e-02,0.0
Mtpn,-0.4187,29,2.378e-02,0.0222
Olfr782,-0.4185,30,2.137e-02,0.0125
Cox5a,0.4185,30,2.137e-02,0.217
Snx29,-0.4185,30,2.137e-02,0.0349
Ccdc36,-0.4185,30,2.137e-02,0.0225
Olfm3,-0.4182,29,2.396e-02,0.0116
Olfr1173,0.4182,29,2.396e-02,0.0127
Hrh3,-0.4182,29,2.396e-02,0.0291
Vrk3,0.4182,29,2.396e-02,0.0481
Haao,-0.4181,31,1.924e-02,0.0481
Haus5,0.4181,31,1.924e-02,0.3187
Baz2a,-0.418,30,2.152e-02,0.0278
Pkn2,0.4177,29,2.414e-02,0.1682
Olfr703,0.4177,29,2.414e-02,0.0127
Luc7l2,-0.4177,29,2.414e-02,0.0288
Fsd1l,-0.4176,30,2.168e-02,0.0
Adcy4,-0.4176,30,2.168e-02,0.0297
Ano2,-0.4176,30,2.168e-02,0.0
Olfr763,-0.4173,31,1.950e-02,0.0851
Rhbdf2,0.4172,29,2.433e-02,0.0326
Camk2g,0.4172,29,2.433e-02,0.019
Rnaset2a,-0.4172,29,2.433e-02,0.0909
Egfl6,-0.4172,29,2.433e-02,0.0111
Chst15,-0.4172,29,2.433e-02,0.02
Foxd2,-0.4171,30,2.183e-02,0.0326
Icmt,0.4171,30,2.183e-02,0.1714
Abhd18,-0.4167,29,2.451e-02,0.0536
Myt1,-0.4167,29,2.451e-02,0.0421
Ankrd7,-0.4167,29,2.451e-02,0.0227
Tmc2,0.4167,29,2.451e-02,0.0345
Polr3a,0.4167,29,2.451e-02,0.3107
Bicral,-0.4167,29,2.451e-02,0.0787
Ipo9,0.4165,31,1.976e-02,0.215
Tdrd12,-0.4163,29,2.470e-02,0.0
Blzf1,-0.4163,29,2.470e-02,0.0444
Ascl5,-0.4163,29,2.470e-02,0.0238
Chd8,0.4162,30,2.214e-02,0.1969
Mak16,0.4161,31,1.989e-02,0.337
Igf2r,-0.4158,29,2.489e-02,0.0577
Gypa,-0.4158,29,2.489e-02,0.023
Rnf126,-0.4158,30,2.230e-02,0.0971
Clec3a,-0.4158,29,2.489e-02,0.0115
Hist1h2bf,0.4158,30,2.230e-02,0.3019
Rasl12,-0.4158,29,2.489e-02,0.0202
Gm6760,-0.4158,30,2.230e-02,0.0247
Neurog1,-0.4158,29,2.489e-02,0.0337
Polr2h,0.4158,29,2.489e-02,0.3269
Ccdc85c,-0.4158,29,2.489e-02,0.0114
Sdcbp,-0.4158,30,2.230e-02,0.0194
Hist1h2ak,0.4157,31,2.002e-02,0.1556
Ppil4,0.4154,30,2.246e-02,0.3333
Smg6,0.4154,30,2.246e-02,0.2336
Gnai3,0.4153,29,2.508e-02,0.0577
Eme1,0.4153,29,2.508e-02,0.1732
Ccdc136,-0.4153,31,2.015e-02,0.0674
Myh1,-0.4153,29,2.508e-02,0.0202
Lman1l,-0.4153,29,2.508e-02,0.0115
Cfap20,0.4153,31,2.015e-02,0.3556
Lmx1b,-0.4153,29,2.508e-02,0.0222
Phc2,-0.4153,29,2.508e-02,0.01
Tlx1,-0.4153,29,2.508e-02,0.0225
Gabpa,0.4153,29,2.508e-02,0.234
Tmprss7,-0.4153,29,2.508e-02,0.01
Gm14434,0.4151,27,3.129e-02,0.1818
Arpp19,0.4149,30,2.262e-02,0.099
Supt6,0.4149,31,2.029e-02,0.3562
Acd,0.4149,31,2.029e-02,0.2174
Fbxl13,-0.4149,30,2.262e-02,0.0388
Praf2,-0.4148,29,2.527e-02,0.0455
Pxt1,0.4148,29,2.527e-02,0.0235
Rev3l,0.4148,29,2.527e-02,0.1397
Lrrc4b,0.4148,29,2.527e-02,0.0396
Uqcc2,0.4145,31,2.042e-02,0.2917
Bcl2,-0.4145,30,2.278e-02,0.0901
Rars,0.4145,30,2.278e-02,0.2381
Nol10,0.4145,31,2.042e-02,0.3626
Arl4d,0.4143,29,2.546e-02,0.0192
Calml3,-0.4143,29,2.546e-02,0.0222
Dmkn,-0.4143,29,2.546e-02,0.0238
C330021F23Rik,0.4141,31,2.056e-02,0.322
Fam180a,-0.4138,29,2.565e-02,0.0225
Pramel1,-0.4138,29,2.565e-02,0.0345
Zdhhc8,-0.4138,29,2.565e-02,0.011
Cyth1,-0.4138,29,2.565e-02,0.0222
1700031F05Rik,0.4136,30,2.310e-02,0.0114
Lrrc29,-0.4136,30,2.310e-02,0.0423
Olfr1413,-0.4133,29,2.585e-02,0.0
Metrn,0.4133,29,2.585e-02,0.0455
Cdc123,0.4133,31,2.083e-02,0.3118
Chmp1a,-0.4133,29,2.585e-02,0.0899
Vmn1r41,-0.4133,29,2.585e-02,0.037
Hsd17b6,-0.4133,29,2.585e-02,0.0
Urb2,0.4131,30,2.326e-02,0.3043
Srms,-0.4128,29,2.604e-02,0.0198
Twf2,-0.4128,29,2.604e-02,0.0374
Pkp2,-0.4127,30,2.343e-02,0.0337
Cd52,0.4123,29,2.624e-02,0.0227
Rab36,-0.4123,29,2.624e-02,0.0202
Rap1a,0.4123,29,2.624e-02,0.0
Defb28,-0.4123,29,2.624e-02,0.0
Senp5,-0.4123,29,2.624e-02,0.02
Batf2,-0.4123,29,2.624e-02,0.0222
Cyba,0.4118,29,2.644e-02,0.02
Gm17455,0.4118,30,2.376e-02,0.0
Olfr1513,-0.4118,29,2.644e-02,0.0123
Vmn2r16,-0.4118,29,2.644e-02,0.0247
Fdxr,0.4118,30,2.376e-02,0.3396
6430548M08Rik,-0.4118,29,2.644e-02,0.0345
5830473C10Rik,-0.4118,29,2.644e-02,0.0115
Gjc3,-0.4118,30,2.376e-02,0.0098
Actr8,0.4113,31,2.152e-02,0.1732
Cox7b,0.4113,31,2.152e-02,0.2222
Ect2,0.4113,30,2.393e-02,0.3441
Mamld1,-0.4113,30,2.393e-02,0.0114
Zc2hc1c,-0.4113,29,2.664e-02,0.0227
Fam49b,-0.4113,29,2.664e-02,0.1236
Kif4,0.4113,31,2.152e-02,0.2688
Wdfy1,-0.4113,29,2.664e-02,0.0222
Vmn2r96,-0.4113,29,2.664e-02,0.0612
Them6,-0.4113,29,2.664e-02,0.0341
Gnl3l,0.4113,30,2.393e-02,0.2947
Hist3h2ba,0.4109,30,2.409e-02,0.1529
Ecm1,-0.4109,30,2.409e-02,0.0096
Med20,0.4109,30,2.409e-02,0.3431
Polr1a,0.4109,30,2.409e-02,0.2857
Dnaaf1,-0.4109,30,2.409e-02,0.0225
Loxl2,-0.4103,29,2.704e-02,0.0098
Kcnh7,-0.4103,29,2.704e-02,0.0099
Kcnf1,-0.4103,29,2.704e-02,0.0099
D7Ertd443e,-0.4103,29,2.704e-02,0.0115
Nupl1,0.4101,31,2.195e-02,0.1373
Tfip11,0.4101,31,2.195e-02,0.2088
Sympk,0.41,30,2.443e-02,0.2889
Pcif1,-0.41,30,2.443e-02,0.086
Zmiz2,0.4099,29,2.724e-02,0.0674
Mtfr2,0.4099,29,2.724e-02,0.0112
Git1,-0.4099,29,2.724e-02,0.0341
Itpkc,-0.4099,29,2.724e-02,0.0097
Lrrc69,-0.4099,29,2.724e-02,0.0112
Scara5,-0.4099,29,2.724e-02,0.0337
