gene,rho,n_coess,coess_p,hit_freq_all
Psmb11,-0.4842,29,7.772e-03,0.0396
Sem1,0.4839,30,6.745e-03,0.2308
Rpp38,0.4839,30,6.745e-03,0.3366
Fam189b,0.4837,29,7.844e-03,0.0444
Cavin4,-0.4837,29,7.844e-03,0.0112
Gucy2g,-0.4837,29,7.844e-03,0.0115
Hist1h2an,0.4835,31,5.863e-03,0.2714
Prrx1,-0.4835,31,5.863e-03,0.0659
Fndc3a,-0.4834,30,6.803e-03,0.0333
Htr7,0.4833,29,7.917e-03,0.03
Ap2m1,0.483,30,6.862e-03,0.2407
Snrpd2,0.483,30,6.862e-03,0.3778
Rbm42,0.4828,29,7.990e-03,0.1798
Kcnmb3,-0.4828,29,7.990e-03,0.0097
Cd47,-0.4828,29,7.990e-03,0.0761
Cd3eap,0.4827,31,5.958e-03,0.3511
Rhoa,0.4827,31,5.958e-03,0.2255
Mrpl19,0.4825,30,6.921e-03,0.1774
Ggt5,0.4823,29,8.064e-03,0.0294
Ppwd1,0.4821,30,6.981e-03,0.3107
Eif2s3x,0.4819,31,6.055e-03,0.3143
Fgr,-0.4818,29,8.138e-03,0.0288
Lrba,-0.4818,29,8.138e-03,0.0562
Insig2,-0.4813,29,8.213e-03,0.0217
Psg27,0.4813,29,8.213e-03,0.0455
Ercc2,0.4812,30,7.101e-03,0.2552
Mark3,0.4808,29,8.288e-03,0.0476
Tfb1m,0.4808,29,8.288e-03,0.266
Tcf21,-0.4808,29,8.288e-03,0.0
Arhgap17,-0.4808,29,8.288e-03,0.0111
Cgrrf1,-0.4803,29,8.364e-03,0.0099
Gad1,-0.4803,29,8.364e-03,0.0194
Cracr2a,-0.4803,29,8.364e-03,0.023
Btaf1,0.4802,31,6.252e-03,0.266
Psmb6,0.4799,30,7.285e-03,0.3529
Olfr1383,0.4798,29,8.441e-03,0.0256
Supt16,0.4798,31,6.302e-03,0.2246
Ptx4,-0.4798,29,8.441e-03,0.0345
Med15,0.4798,29,8.441e-03,0.1413
Tmem11,0.4798,29,8.441e-03,0.09
Cstf2t,-0.4798,29,8.441e-03,0.0455
Tardbp,0.4794,31,6.352e-03,0.383
Olfr1393,0.4793,29,8.518e-03,0.0638
Olfr1061,-0.4793,29,8.518e-03,0.0247
Yrdc,0.479,30,7.410e-03,0.3516
Epm2aip1,0.4788,29,8.596e-03,0.0337
Hist1h2ai,0.4786,31,6.454e-03,0.2029
Snapc4,0.4786,31,6.454e-03,0.3402
Pomp,0.4786,31,6.454e-03,0.2935
Triap1,0.4785,30,7.473e-03,0.3846
Syt5,0.4783,29,8.674e-03,0.0294
Ms4a4b,0.4783,29,8.674e-03,0.0581
Cyp27b1,-0.4783,29,8.674e-03,0.0096
Tprn,-0.4783,29,8.674e-03,0.0222
4930402F06Rik,-0.4783,29,8.674e-03,0.0345
Rbbp4,0.4782,31,6.505e-03,0.3571
